        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.80000000e+02,        +1.414213562373e-01,        +2.072534337746e-01,        +1.743839814480e-02,        +3.513423903967e-02,        -9.759407318228e-02,        +1.414213562373e-01,        +3.513423903967e-02,        -9.759407318228e-02,        +2.073507583355e-01,        +1.722559967612e-02
 1.82000000e+02,        +1.414213562373e-01,        +2.094883565028e-01,        +1.375701639874e-02,        +2.776845146651e-02,        -9.927240565103e-02,        +1.414213562373e-01,        +2.776845146651e-02,        -9.927240565103e-02,        +2.095674440362e-01,        +1.355006647768e-02
 1.84000000e+02,        +1.414213562373e-01,        +2.111462069828e-01,        +9.834039800145e-03,        +2.044617371620e-02,        -1.005516960210e-01,        +1.414213562373e-01,        +2.044617371620e-02,        -1.005516960210e-01,        +2.112085437279e-01,        +9.635311470260e-03
 1.86000000e+02,        +1.414213562373e-01,        +2.122126747587e-01,        +5.744700728943e-03,        +1.314965210738e-02,        -1.014606349340e-01,        +1.414213562373e-01,        +1.314965210738e-02,        -1.014606349340e-01,        +2.122599717515e-01,        +5.556377949681e-03
 1.88000000e+02,        +1.414213562373e-01,        +2.126787296483e-01,        +1.562179775977e-03,        +5.856488857187e-03,        -1.020163021610e-01,        +1.414213562373e-01,        +5.856488857187e-03,        -1.020163021610e-01,        +2.127129131082e-01,        +1.386257688748e-03
 1.90000000e+02,        +1.414213562373e-01,        +2.125397676468e-01,        -2.641263675479e-03,        -1.458022771605e-03,        -1.022239327349e-01,        +1.414213562373e-01,        -1.458022771605e-03,        -1.022239327349e-01,        +2.125629766322e-01,        -2.802982779460e-03
 1.92000000e+02,        +1.414213562373e-01,        +2.117953649309e-01,        -6.793032617648e-03,        -8.818653579681e-03,        -1.020768205847e-01,        +1.414213562373e-01,        -8.818653579681e-03,        -1.020768205848e-01,        +2.118099544142e-01,        -6.938949833110e-03
 1.94000000e+02,        +1.414213562373e-01,        +2.104496418712e-01,        -1.081894355223e-02,        -1.624797466124e-02,        -1.015563391323e-01,        +1.414213562373e-01,        -1.624797466124e-02,        -1.015563391323e-01,        +2.104581890144e-01,        -1.094768229683e-02
 1.96000000e+02,        +1.414213562373e-01,        +2.085122367900e-01,        -1.464212814479e-02,        -2.376396783146e-02,        -1.006321151545e-01,        +1.414213562373e-01,        -2.376396783146e-02,        -1.006321151545e-01,        +2.085175477504e-01,        -1.475256308637e-02
 1.98000000e+02,        +1.414213562373e-01,        +2.059998814423e-01,        -1.818224290745e-02,        -3.137742034236e-02,        -9.926244942628e-02,        +1.414213562373e-01,        -3.137742034236e-02,        -9.926244942628e-02,        +2.060049954782e-01,        -1.827354007491e-02
 2.00000000e+02,        +1.414213562373e-01,        +2.029385483230e-01,        -2.135517314364e-02,        -3.908904917243e-02,        -9.739513478468e-02,        +1.414213562373e-01,        -3.908904917243e-02,        -9.739513478468e-02,        +2.029467353008e-01,        -2.142684182394e-02
 2.02000000e+02,        +1.414213562373e-01,        +1.993660951664e-01,        -2.407345174127e-02,        -4.688635914476e-02,        -9.496887578167e-02,        +1.414213562373e-01,        -4.688635914476e-02,        -9.496887578167e-02,        +1.993808418548e-01,        -2.412540785657e-02
 2.04000000e+02,        +1.414213562373e-01,        +1.953352564080e-01,        -2.624764243220e-02,        -5.474032812977e-02,        -9.191555543633e-02,        +1.414213562373e-01,        -5.474032812977e-02,        -9.191555543633e-02,        +1.953602363085e-01,        -2.628028174194e-02
 2.06000000e+02,        +1.414213562373e-01,        +1.909167200882e-01,        -2.778894356496e-02,        -6.260213558964e-02,        -8.816360844648e-02,        +1.414213562373e-01,        -6.260213558964e-02,        -8.816360844648e-02,        +1.909557412055e-01,        -2.780322115781e-02
 2.08000000e+02,        +1.414213562373e-01,        +1.862018845049e-01,        -2.861322818913e-02,        -7.040030459605e-02,        -8.364272405674e-02,        +1.414213562373e-01,        -7.040030459605e-02,        -8.364272405674e-02,        +1.862588097277e-01,        -2.861073831588e-02
 2.10000000e+02,        +1.414213562373e-01,        +1.813047285913e-01,        -2.864662086024e-02,        -7.803879546892e-02,        -7.828998834011e-02,        +1.414213562373e-01,        -7.803879546892e-02,        -7.828998834011e-02,        +1.813833646089e-01,        -2.862966836726e-02
 2.12000000e+02,        +1.414213562373e-01,        +1.763620906318e-01,        -2.783249568662e-02,        -8.539673438971e-02,        -7.205736050292e-02,        +1.414213562373e-01,        -8.539673438971e-02,        -7.205736050292e-02,        +1.764660439573e-01,        -2.780414754141e-02
