        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.66000000e+02,        +7.071067811865e+00,        +7.308373968563e+00,        -2.304810352935e-02,        +3.485592708445e+00,        -4.335335526496e+00,        +7.071067811865e+00,        +3.485592708445e+00,        -4.335335526496e+00,        +7.311155407462e+00,        -2.687856069289e-02
 1.68000000e+02,        +7.071067811865e+00,        +7.318342455900e+00,        -3.922621990356e-02,        +3.099755301346e+00,        -4.607702951243e+00,        +7.071067811865e+00,        +3.099755301346e+00,        -4.607702951243e+00,        +7.320847034358e+00,        -4.325425131164e-02
 1.70000000e+02,        +7.071067811865e+00,        +7.325224447711e+00,        -5.680375116419e-02,        +2.692979008687e+00,        -4.846013159920e+00,        +7.071067811865e+00,        +2.692979008687e+00,        -4.846013159920e+00,        +7.327428329112e+00,        -6.098848956595e-02
 1.72000000e+02,        +7.071067811865e+00,        +7.328860436233e+00,        -7.522826845451e-02,        +2.268233997299e+00,        -5.048688821939e+00,        +7.071067811865e+00,        +2.268233997299e+00,        -5.048688821939e+00,        +7.330746576893e+00,        -7.952603245615e-02
 1.74000000e+02,        +7.071067811865e+00,        +7.329186742369e+00,        -9.393381983306e-02,        +1.828606870940e+00,        -5.214405781380e+00,        +7.071067811865e+00,        +1.828606870940e+00,        -5.214405781380e+00,        +7.330745180463e+00,        -9.829922740741e-02
 1.76000000e+02,        +7.071067811865e+00,        +7.326235530448e+00,        -1.123571343157e-01,        +1.377280227378e+00,        -5.342101761114e+00,        +7.071067811865e+00,        +1.377280227378e+00,        -5.342101761114e+00,        +7.327463496967e+00,        -1.167442373937e-01
 1.78000000e+02,        +7.071067811865e+00,        +7.320132153395e+00,        -1.299534600258e-01,        +9.175114320828e-01,        -5.430983655513e+00,        +7.071067811865e+00,        +9.175114320828e-01,        -5.430983655513e+00,        +7.321034005436e+00,        -1.343168724936e-01
 1.80000000e+02,        +7.071067811865e+00,        +7.311089945591e+00,        -1.462116083260e-01,        +4.526106539903e-01,        -5.480533292308e+00,        +7.071067811865e+00,        +4.526106539903e-01,        -5.480533292308e+00,        +7.311676926473e+00,        -1.505076002884e-01
 1.82000000e+02,        +7.071067811865e+00,        +7.299402647760e+00,        -1.606678027678e-01,        -1.408176181911e-02,        -5.490511533219e+00,        +7.071067811865e+00,        -1.408176181911e-02,        -5.490511533219e+00,        +7.299692482488e+00,        -1.648553350821e-01
 1.84000000e+02,        +7.071067811865e+00,        +7.285434710125e+00,        -1.729179691088e-01,        -4.792184769081e-01,        -5.460960580291e+00,        +7.071067811865e+00,        -4.792184769081e-01,        -5.460960580291e+00,        +7.285451048535e+00,        -1.769596439211e-01
 1.86000000e+02,        +7.071067811865e+00,        +7.269609775155e+00,        -1.826281497183e-01,        -9.394687561283e-01,        -5.392204360964e+00,        +7.071067811865e+00,        -9.394687561283e-01,        -5.392204360964e+00,        +7.269381498620e+00,        -1.864910550190e-01
 1.88000000e+02,        +7.071067811865e+00,        +7.252397687811e+00,        -1.895427812890e-01,        -1.391542303721e+00,        -5.284846879864e+00,        +7.071067811865e+00,        -1.391542303721e+00,        -5.284846879864e+00,        +7.251958098481e+00,        -1.931992102965e-01
 1.90000000e+02,        +7.071067811865e+00,        +7.234300417757e+00,        -1.934906373888e-01,        -1.832213135036e+00,        -5.139768448454e+00,        +7.071067811865e+00,        -1.832213135036e+00,        -5.139768448454e+00,        +7.233686332011e+00,        -1.969186668143e-01
 1.92000000e+02,        +7.071067811865e+00,        +7.215837303479e+00,        -1.943883052178e-01,        -2.258343255924e+00,        -4.958119733907e+00,        +7.071067811865e+00,        -2.258343255924e+00,        -4.958119733907e+00,        +7.215088073394e+00,        -1.975722200904e-01
 1.94000000e+02,        +7.071067811865e+00,        +7.197530041665e+00,        -1.922411369106e-01,        -2.666905904653e+00,        -4.741313604265e+00,        +7.071067811865e+00,        -2.666905904653e+00,        -4.741313604265e+00,        +7.196686529850e+00,        -1.951716935603e-01
 1.96000000e+02,        +7.071067811865e+00,        +7.179887846264e+00,        -1.871416876083e-01,        -3.055008101913e+00,        -4.491014786243e+00,        +7.071067811865e+00,        -3.055008101913e+00,        -4.491014786243e+00,        +7.178991380338e+00,        -1.898162105295e-01
 1.98000000e+02,        +7.071067811865e+00,        +7.163393190412e+00,        -1.792657230594e-01,        -3.419912253686e+00,        -4.209127392865e+00,        +7.071067811865e+00,        -3.419912253686e+00,        -4.209127392865e+00,        +7.162484523625e+00,        -1.816880355921e-01
 2.00000000e+02,        +7.071067811865e+00,        +7.148488521407e+00,        -1.688659464803e-01,        -3.759056559395e+00,        -3.897780418350e+00,        +7.071067811865e+00,        -3.759056559395e+00,        -3.897780418350e+00,        +7.147606825489e+00,        -1.710461394551e-01
 2.02000000e+02,        +7.071067811865e+00,        +7.135564305187e+00,        -1.562636558355e-01,        -4.070073993282e+00,        -3.559311335569e+00,        +7.071067811865e+00,        -4.070073993282e+00,        -3.559311335569e+00,        +7.134746220392e+00,        -1.582177024039e-01
 2.04000000e+02,        +7.071067811865e+00,        +7.124948713554e+00,        -1.418385968463e-01,        -4.350809649481e+00,        -3.196247965065e+00,        +7.071067811865e+00,        -4.350809649481e+00,        -3.196247965065e+00,        +7.124227479095e+00,        -1.435878255583e-01
 2.06000000e+02,        +7.071067811865e+00,        +7.116899216383e+00,        -1.260173225579e-01,        -4.599336269355e+00,        -2.811288813037e+00,        +7.071067811865e+00,        -4.599336269355e+00,        -2.811288813037e+00,        +7.116303902119e+00,        -1.275877642391e-01
 2.08000000e+02,        +7.071067811865e+00,        +7.111596283897e+00,        -1.092604061772e-01,        -4.813967802048e+00,        -2.407282097715e+00,        +7.071067811865e+00,        -4.813967802048e+00,        -2.407282097715e+00,        +7.111151141224e+00,        -1.106820332049e-01
 2.10000000e+02,        +7.071067811865e+00,        +7.109139342739e+00,        -9.204887953324e-02,        -4.993270884119e+00,        -1.987203698863e+00,        +7.071067811865e+00,        -4.993270884119e+00,        -1.987203698863e+00,        +7.108863289290e+00,        -9.335475862324e-02
 2.12000000e+02,        +7.071067811865e+00,        +7.109545065589e+00,        -7.487028459874e-02,        -5.136074160187e+00,        -1.554134273550e+00,        +7.071067811865e+00,        -5.136074160187e+00,        -1.554134273550e+00,        +7.109451314677e+00,        -7.609566612619e-02
 2.14000000e+02,        +7.071067811865e+00,        +7.112748009424e+00,        -5.820473004658e-02,        -5.241475402217e+00,        -1.111235783009e+00,        +7.071067811865e+00,        -5.241475402217e+00,        -1.111235783009e+00,        +7.112843851205e+00,        -5.938609818524e-02
 2.16000000e+02,        +7.071067811865e+00,        +7.118603553575e+00,        -4.251133901904e-02,        -5.308846419155e+00,        -6.617276709206e-01,        +7.071067811865e+00,        -5.308846419155e+00,        -6.617276709206e-01,        +7.118890290868e+00,        -4.368544756220e-02
 2.18000000e+02,        +7.071067811865e+00,        +7.126893027137e+00,        -2.821545855272e-02,        -5.337835779937e+00,        -2.088629233598e-01,        +7.071067811865e+00,        -5.337835779937e+00,        -2.088629233598e-01,        +7.127366064797e+00,        -2.941837717670e-02
 2.20000000e+02,        +7.071067811865e+00,        +7.137330857386e+00,        -1.569697599911e-02,        -5.328369400627e+00,        +2.440957740868e-01,        +7.071067811865e+00,        -5.328369400627e+00,        +2.440957740868e-01,        +7.137979940190e+00,        -1.696317096157e-02
 2.22000000e+02,        +7.071067811865e+00,        +7.149573517928e+00,        -5.280054000589e-03,        -5.280649069704e+00,        +6.938995850646e-01,        +7.071067811865e+00,        -5.280649069704e+00,        +6.938995850646e-01,        +7.150383108243e+00,        -6.641525876646e-03
 2.24000000e+02,        +7.071067811865e+00,        +7.163230008596e+00,        +2.775446017518e-03,        -5.195149004014e+00,        +1.137336601270e+00,        +7.071067811865e+00,        -5.195149004014e+00,        +1.137336601270e+00,        +7.164179791768e+00,        +1.289946908434e-03
 2.26000000e+02,        +7.071067811865e+00,        +7.177873559775e+00,        +8.280630290412e-03,        -5.072610541037e+00,        +1.571254298302e+00,        +7.071067811865e+00,        -5.072610541037e+00,        +1.571254298302e+00,        +7.178939062201e+00,        +6.646292544323e-03
 2.28000000e+02,        +7.071067811865e+00,        +7.193054222749e+00,        +1.112216158660e-02,        -4.914035081134e+00,        +1.992581238613e+00,        +7.071067811865e+00,        -4.914035081134e+00,        +1.992581238613e+00,        +7.194207525193e+00,        +9.318690058476e-03
 2.30000000e+02,        +7.071067811865e+00,        +7.208311985837e+00,        +1.126466132599e-02,        -4.720675396233e+00,        +2.398347913881e+00,        +7.071067811865e+00,        -4.720675396233e+00,        +2.398347913881e+00,        +7.209522512582e+00,        +9.276730865899e-03
 2.32000000e+02,        +7.071067811865e+00,        +7.223190043978e+00,        +8.750876860355e-03,        -4.494025419591e+00,        +2.785706639414e+00,        +7.071067811865e+00,        -4.494025419591e+00,        +2.785706639414e+00,        +7.224425407059e+00,        +6.568453453505e-03
 2.34000000e+02,        +7.071067811865e+00,        +7.237247847524e+00,        +3.699628090610e-03,        -4.235808625571e+00,        +3.151950430464e+00,        +7.071067811865e+00,        -4.235808625571e+00,        +3.151950430464e+00,        +7.238474724458e+00,        +1.318151809893e-03
 2.36000000e+02,        +7.071067811865e+00,        +7.250073564383e+00,        -3.698390678905e-03,        -3.947965099629e+00,        +3.494530803732e+00,        +7.071067811865e+00,        -3.947965099629e+00,        +3.494530803732e+00,        +7.251258587531e+00,        -6.277963099310e-03
 2.38000000e+02,        +7.071067811865e+00,        +7.261295608086e+00,        -1.318681825731e-02,        -3.632637388282e+00,        +3.811074456303e+00,        +7.071067811865e+00,        -3.632637388282e+00,        +3.811074456303e+00,        +7.262406244010e+00,        -1.595811009542e-02
 2.40000000e+02,        +7.071067811865e+00,        +7.270592912427e+00,        -2.445165245699e-02,        -3.292155207966e+00,        +4.099398778523e+00,        +7.071067811865e+00,        -3.292155207966e+00,        +4.099398778523e+00,        +7.271598310301e+00,        -2.740309861560e-02
 2.42000000e+02,        +7.071067811865e+00,        +7.277703670159e+00,        -3.713085318214e-02,        -2.929019081722e+00,        +4.357526157029e+00,        +7.071067811865e+00,        -2.929019081722e+00,        +4.357526157029e+00,        +7.278575459434e+00,        -4.024605946098e-02
 2.44000000e+02,        +7.071067811865e+00,        +7.282432297986e+00,        -5.082523819199e-02,        -2.545882964983e+00,        +4.583697019735e+00,        +7.071067811865e+00,        -2.545882964983e+00,        +4.583697019735e+00,        +7.283145317005e+00,        -5.408345821774e-02
 2.46000000e+02,        +7.071067811865e+00,        +7.284654441315e+00,        -6.511035169251e-02,        -2.145535917471e+00,        +4.776381566972e+00,        +7.071067811865e+00,        -2.145535917471e+00,        +4.776381566972e+00,        +7.285187380415e+00,        -6.848706906988e-02
 2.48000000e+02,        +7.071067811865e+00,        +7.284319888777e+00,        -7.954895960725e-02,        -1.730882878196e+00,        +4.934290123265e+00,        +7.071067811865e+00,        -1.730882878196e+00,        +4.934290123265e+00,        +7.284655833520e+00,        -8.301656073055e-02
 2.50000000e+02,        +7.071067811865e+00,        +7.281453326601e+00,        -9.370380884749e-02,        -1.304924605371e+00,        +5.056382033797e+00,        +7.071067811865e+00,        -1.304924605371e+00,        +5.056382033797e+00,        +7.281580189145e+00,        -9.723233002232e-02
 2.52000000e+02,        +7.071067811865e+00,        +7.276152925133e+00,        -1.071502816519e-01,        -8.707368528489e-01,        +5.141873020041e+00,        +7.071067811865e+00,        -8.707368528489e-01,        +5.141873020041e+00,        +7.276063754250e+00,        -1.107082127330e-01
 2.54000000e+02,        +7.071067811865e+00,        +7.268586812163e+00,        -1.194885803446e-01,        -4.314488690949e-01,        +5.190240901619e+00,        +7.071067811865e+00,        -4.314488690949e-01,        +5.190240901619e+00,        +7.268279975132e+00,        -1.230437060124e-01
 2.56000000e+02,        +7.071067811865e+00,        +7.258987548745e+00,        -1.303550926427e-01,        +9.778676893143e-03,        +5.201229587831e+00,        +7.071067811865e+00,        +9.778676893141e-03,        +5.201229587831e+00,        +7.258466781089e+00,        -1.338753517233e-01
 2.58000000e+02,        +7.071067811865e+00,        +7.247644780902e+00,        -1.394326126217e-01,        +4.497762170204e-01,        +5.174851243365e+00,        +7.071067811865e+00,        +4.497762170204e-01,        +5.174851243365e+00,        +7.246919102806e+00,        -1.428869555119e-01
 2.60000000e+02,        +7.071067811865e+00,        +7.234896293403e+00,        -1.464591270177e-01,        +8.853881043814e-01,        +5.111386539479e+00,        +7.071067811865e+00,        +8.853881043814e-01,        +5.111386539479e+00,        +7.233979794493e+00,        -1.498183513093e-01
 2.62000000e+02,        +7.071067811865e+00,        +7.221117738010e+00,        -1.512349197993e-01,        +1.313495561111e+00,        +5.011382914791e+00,        +7.071067811865e+00,        +1.313495561111e+00,        +5.011382914791e+00,        +7.220029235010e+00,        -1.544724646091e-01
