        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 2.08000000e+02,        +2.545963662614e-12,        +2.509731478144e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.543713977111e-12,        +2.506541136644e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+02,        +2.602111945678e-12,        +2.554306788938e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.599663250503e-12,        +2.551044349765e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.12000000e+02,        +2.656794161675e-12,        +2.593974978076e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.654157267304e-12,        +2.590656347170e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.14000000e+02,        +2.707825895325e-12,        +2.626982571127e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.705015934232e-12,        +2.623625367173e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.16000000e+02,        +2.752985867239e-12,        +2.651709374646e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.750022347528e-12,        +2.648332541377e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.18000000e+02,        +2.790166725250e-12,        +2.666803776426e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.787073258487e-12,        +2.663427013079e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+02,        +2.817542070416e-12,        +2.671314299352e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.814345745165e-12,        +2.667957342534e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.22000000e+02,        +2.833726343960e-12,        +2.664795753846e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.830456767268e-12,        +2.661477573681e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.24000000e+02,        +2.837901380368e-12,        +2.647369696913e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.834589464814e-12,        +2.644107692166e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.26000000e+02,        +2.829887144425e-12,        +2.619725934770e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.826563764386e-12,        +2.616535218643e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.28000000e+02,        +2.810144180894e-12,        +2.583063046145e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.806838845289e-12,        +2.579955903073e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+02,        +2.779708883287e-12,        +2.538978070574e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.776448566384e-12,        +2.535963636989e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.32000000e+02,        +2.740075628452e-12,        +2.489324822503e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.736883867561e-12,        +2.486409008375e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.34000000e+02,        +2.693048287992e-12,        +2.436064142109e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.689944607207e-12,        +2.433249774512e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.36000000e+02,        +2.640585734126e-12,        +2.381127343464e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.637585400464e-12,        +2.378414486582e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.38000000e+02,        +2.584662261670e-12,        +2.326307783819e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.581776336199e-12,        +2.323694175919e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+02,        +2.527156632585e-12,        +2.273187481283e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.524392251465e-12,        +2.270669028152e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.42000000e+02,        +2.469775449560e-12,        +2.223098476251e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.467136259493e-12,        +2.220669749189e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.44000000e+02,        +2.414009889206e-12,        +2.177113616720e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.411496565374e-12,        +2.174768316855e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.46000000e+02,        +2.361120492046e-12,        +2.136058997993e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.358731278997e-12,        +2.133790363398e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.48000000e+02,        +2.312142751661e-12,        +2.100539966755e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.309873983629e-12,        +2.098341111733e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+02,        +2.267906119391e-12,        +2.070973636731e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.265752692343e-12,        +2.068837822364e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.52000000e+02,        +2.229060013872e-12,        +2.047622507888e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.227015794945e-12,        +2.045543349238e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.54000000e+02,        +2.196101854644e-12,        +2.030625485494e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.194160024681e-12,        +2.028597104209e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.56000000e+02,        +2.169403584683e-12,        +2.020024049660e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.167556916299e-12,        +2.018041181813e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.58000000e+02,        +2.149234369192e-12,        +2.015782413472e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.147475446827e-12,        +2.013840482031e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+02,        +2.135778073507e-12,        +2.017801236000e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.134099463811e-12,        +2.015896395987e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.62000000e+02,        +2.129144743996e-12,        +2.025924896296e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.127539125400e-12,        +2.024054058836e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.64000000e+02,        +2.129375705615e-12,        +2.039942579962e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.127835965521e-12,        +2.038103419382e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.66000000e+02,        +2.136442132371e-12,        +2.059583576183e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.134961439499e-12,        +2.057774522179e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.68000000e+02,        +2.150237132580e-12,        +2.084507317965e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.148808990771e-12,        +2.082727532757e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+02,        +2.170561609622e-12,        +2.114288899621e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.169179898119e-12,        +2.112538237997e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.72000000e+02,        +2.197104498777e-12,        +2.148401140071e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.195763502555e-12,        +2.146680088359e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.74000000e+02,        +2.229418520989e-12,        +2.186194777968e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.228112953298e-12,        +2.184504366412e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.76000000e+02,        +2.266893393556e-12,        +2.226879104118e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.265618411322e-12,        +2.225220786125e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.78000000e+02,        +2.308729506912e-12,        +2.269506223180e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.307480718124e-12,        +2.267881714783e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+02,        +2.353916341420e-12,        +2.312963069043e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.352689802168e-12,        +2.311374143143e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.82000000e+02,        +2.401221152386e-12,        +2.355976039465e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.400013349941e-12,        +2.354424272441e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.84000000e+02,        +2.449194323832e-12,        +2.397133302724e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.448002141334e-12,        +2.395619776174e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.86000000e+02,        +2.496197758124e-12,        +2.434929017142e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.495018416365e-12,        +2.433453984846e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.88000000e+02,        +2.540461154720e-12,        +2.467831490506e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.539292127510e-12,        +2.466394029502e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+02,        +2.580167630079e-12,        +2.494373542785e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.579006531961e-12,        +2.492971216342e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.92000000e+02,        +2.613564907020e-12,        +2.513258376702e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.612409355595e-12,        +2.511886943719e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.94000000e+02,        +2.639092061534e-12,        +2.523469117809e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.637939520880e-12,        +2.522122325231e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.96000000e+02,        +2.655506139792e-12,        +2.524366417964e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.654353755582e-12,        +2.523035908204e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.98000000e+02,        +2.661989830748e-12,        +2.515757760148e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.660834270532e-12,        +2.514433113623e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+02,        +2.658222418094e-12,        +2.497925342648e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.657059730855e-12,        +2.496594258013e-12,        +0.000000000000e+00,        +0.000000000000e+00
