        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 2.28000000e+02,        +1.414213562373e-01,        +1.165767370095e-01,        -1.490066670075e-02,        -9.683910952496e-02,        +2.969246468126e-02,        +1.414213562373e-01,        -9.683910952496e-02,        +2.969246468126e-02,        +1.163690306856e-01,        -1.490080223164e-02
 2.30000000e+02,        +1.414213562373e-01,        +1.137685306554e-01,        -1.847887913732e-02,        -9.293604661163e-02,        +3.828735097009e-02,        +1.414213562373e-01,        -9.293604661163e-02,        +3.828735097009e-02,        +1.135782927440e-01,        -1.846811513141e-02
 2.32000000e+02,        +1.414213562373e-01,        +1.104046771291e-01,        -2.143015977412e-02,        -8.821534589178e-02,        +4.623119169364e-02,        +1.414213562373e-01,        -8.821534589178e-02,        +4.623119169364e-02,        +1.102326587596e-01,        -2.141179807698e-02
 2.34000000e+02,        +1.414213562373e-01,        +1.066341067862e-01,        -2.367956883935e-02,        -8.281888589960e-02,        +5.344585121697e-02,        +1.414213562373e-01,        -8.281888589960e-02,        +5.344585121697e-02,        +1.064804279996e-01,        -2.365685115127e-02
 2.36000000e+02,        +1.414213562373e-01,        +1.026095513750e-01,        -2.518966941374e-02,        -7.689071793287e-02,        +5.988951914337e-02,        +1.414213562373e-01,        -7.689071793287e-02,        +5.988951914337e-02,        +1.024737655670e-01,        -2.516565076002e-02
 2.38000000e+02,        +1.414213562373e-01,        +9.847802200384e-02,        -2.595692215658e-02,        -7.056755796027e-02,        +6.555285843413e-02,        +1.414213562373e-01,        -7.056755796027e-02,        +6.555285843413e-02,        +9.835920344646e-02,        -2.593437500581e-02
 2.40000000e+02,        +1.414213562373e-01,        +9.437381973514e-02,        -2.600598110900e-02,        -6.397181357008e-02,        +7.045301978874e-02,        +1.414213562373e-01,        -6.397181357008e-02,        +7.045301978874e-02,        +9.427066192755e-02,        -2.598733178865e-02
 2.42000000e+02,        +1.414213562373e-01,        +9.041425369656e-02,        -2.538309320853e-02,        -5.720732935772e-02,        +7.462671581129e-02,        +1.414213562373e-01,        -5.720732935772e-02,        +7.462671581129e-02,        +9.032516812930e-02,        -2.537038809107e-02
 2.44000000e+02,        +1.414213562373e-01,        +8.669779372122e-02,        -2.414959223344e-02,        -5.035758912983e-02,        +7.812333719159e-02,        +1.414213562373e-01,        -5.035758912983e-02,        +7.812333719159e-02,        +8.662100148162e-02,        -2.414448855860e-02
 2.46000000e+02,        +1.414213562373e-01,        +8.330413024920e-02,        -2.237616104165e-02,        -4.348586208692e-02,        +8.099877714160e-02,        +1.414213562373e-01,        -4.348586208692e-02,        +8.099877714160e-02,        +8.323774191255e-02,        -2.237993615008e-02
 2.48000000e+02,        +1.414213562373e-01,        +8.029553496255e-02,        -2.013821843120e-02,        -3.663670442831e-02,        +8.331031396594e-02,        +1.414213562373e-01,        -3.663670442831e-02,        +8.331031396594e-02,        +8.023761684905e-02,        -2.015179126414e-02
 2.50000000e+02,        +1.414213562373e-01,        +7.771895830079e-02,        -1.751253090792e-02,        -2.983827476860e-02,        +8.511264734147e-02,        +1.414213562373e-01,        -2.983827476860e-02,        +8.511264734147e-02,        +7.766758516481e-02,        -1.753649043734e-02
 2.52000000e+02,        +1.414213562373e-01,        +7.560840650486e-02,        -1.457497679090e-02,        -2.310503344955e-02,        +8.645501376414e-02,        +1.414213562373e-01,        -2.310503344955e-02,        +8.645501376414e-02,        +7.556170202223e-02,        -1.460961319226e-02
 2.54000000e+02,        +1.414213562373e-01,        +7.398726514055e-02,        -1.139929459747e-02,        -1.644052631718e-02,        +8.737921549161e-02,        +1.414213562373e-01,        -1.644052631718e-02,        +8.737921549161e-02,        +7.394343226867e-02,        -1.144463017897e-02
 2.56000000e+02,        +1.414213562373e-01,        +7.287034953616e-02,        -8.056610542888e-03,        -9.840074068402e-03,        +8.791836698750e-02,        +1.414213562373e-01,        -9.840074068402e-03,        +8.791836698750e-02,        +7.282769309161e-02,        -8.112428536655e-03
 2.58000000e+02,        +1.414213562373e-01,        +7.226555206848e-02,        -4.615539679581e-03,        -3.293285282249e-03,        +8.809617275889e-02,        +1.414213562373e-01,        -3.293285282249e-03,        +8.809617275889e-02,        +7.222249584580e-02,        -4.681409909412e-03
 2.60000000e+02,        +1.414213562373e-01,        +7.217501931431e-02,        -1.142673212944e-03,        +3.213618520003e-03,        +8.792658326268e-02,        +1.414213562373e-01,        +3.213618520003e-03,        +8.792658326268e-02,        +7.213011987919e-02,        -1.217974372730e-03
 2.62000000e+02,        +1.414213562373e-01,        +7.259583241487e-02,        +2.296712502368e-03,        +9.695631785064e-03,        +8.741371912771e-02,        +1.414213562373e-01,        +9.695631785064e-03,        +8.741371912771e-02,        +7.254779142771e-02,        +2.212773668899e-03
 2.64000000e+02,        +1.414213562373e-01,        +7.352018796414e-02,        +5.637870271713e-03,        +1.616688866982e-02,        +8.655200106460e-02,        +1.414213562373e-01,        +1.616688866982e-02,        +8.655200106460e-02,        +7.346786457203e-02,        +5.546242166037e-03
 2.66000000e+02,        +1.414213562373e-01,        +7.493509148994e-02,        +8.815853014721e-03,        +2.263861419617e-02,        +8.532646984306e-02,        +1.414213562373e-01,        +2.263861419617e-02,        +8.532646984306e-02,        +7.487751598401e-02,        +8.717623680022e-03
 2.68000000e+02,        +1.414213562373e-01,        +7.682158819942e-02,        +1.176497227759e-02,        +2.911704182201e-02,        +8.371332591183e-02,        +1.414213562373e-01,        +2.911704182201e-02,        +8.371332591183e-02,        +7.675797776321e-02,        +1.166135382876e-02
 2.70000000e+02,        +1.414213562373e-01,        +7.915357275256e-02,        +1.441858087838e-02,        +3.560125723776e-02,        +8.168076036684e-02,        +1.414213562373e-01,        +3.560125723776e-02,        +8.168076036684e-02,        +7.908334970435e-02,        +1.431089224469e-02
 2.72000000e+02,        +1.414213562373e-01,        +8.189624747807e-02,        +1.670932645173e-02,        +4.208096461883e-02,        +7.919018580652e-02,        +1.414213562373e-01,        +4.208096461883e-02,        +7.919018580652e-02,        +8.181905990504e-02,        +1.659897260881e-02
 2.74000000e+02,        +1.414213562373e-01,        +8.500434168561e-02,        +1.857003105277e-02,        +4.853422552151e-02,        +7.619800267316e-02,        +1.414213562373e-01,        +4.853422552151e-02,        +7.619800267316e-02,        +8.492008575124e-02,        +1.845847680203e-02
 2.76000000e+02,        +1.414213562373e-01,        +8.842026644123e-02,        +1.993534901690e-02,        +5.492529314447e-02,        +7.265804627636e-02,        +1.414213562373e-01,        +5.492529314447e-02,        +7.265804627636e-02,        +8.832910890265e-02,        +1.982408539906e-02
 2.78000000e+02,        +1.414213562373e-01,        +9.207245808632e-02,        +2.074432811664e-02,        +6.120275354709e-02,        +6.852484062917e-02,        +1.414213562373e-01,        +6.120275354709e-02,        +6.852484062917e-02,        +9.197485669927e-02,        +2.063482981017e-02
 2.80000000e+02,        +1.414213562373e-01,        +9.587425163012e-02,        +2.094393276784e-02,        +6.729828194094e-02,        +6.375772388618e-02,        +1.414213562373e-01,        +6.729828194094e-02,        +6.375772388618e-02,        +9.577097020926e-02,        +2.083760542943e-02
 2.82000000e+02,        +1.414213562373e-01,        +9.972370364653e-02,        +2.049346896402e-02,        +7.312640799280e-02,        +5.832579390988e-02,        +1.414213562373e-01,        +7.312640799280e-02,        +5.832579390988e-02,        +9.961581772276e-02,        +2.039158651291e-02
 2.84000000e+02,        +1.414213562373e-01,        +1.035048235588e-01,        +1.936967275832e-02,        +7.858572940644e-02,        +5.221344602968e-02,        +1.414213562373e-01,        +7.858572940644e-02,        +5.221344602968e-02,        +1.033937120475e-01,        +1.927330613700e-02
 2.86000000e+02,        +1.414213562373e-01,        +1.070906331304e-01,        +1.757199811098e-02,        +8.356197900310e-02,        +4.542604951977e-02,        +1.414213562373e-01,        +8.356197900310e-02,        +4.542604951977e-02,        +1.069779514742e-01,        +1.748193901045e-02
 2.88000000e+02,        +1.414213562373e-01,        +1.103483177492e-01,        +1.512740208255e-02,        +8.793319843960e-02,        +3.799507130222e-02,        +1.414213562373e-01,        +8.793319843960e-02,        +3.799507130222e-02,        +1.102359489144e-01,        +1.504408727387e-02
 2.90000000e+02,        +1.414213562373e-01,        +1.131464386064e-01,        +1.209374113999e-02,        +9.157698063764e-02,        +2.998177049720e-02,        +1.414213562373e-01,        +9.157698063764e-02,        +2.998177049720e-02,        +1.130364202906e-01,        +1.201718498763e-02
 2.92000000e+02,        +1.414213562373e-01,        +1.153637609934e-01,        +8.560847023749e-03,        +9.437933186213e-02,        +2.147854105157e-02,        +1.414213562373e-01,        +9.437933186213e-02,        +2.147854105157e-02,        +1.152581904077e-01,        +8.490590899991e-03
 2.94000000e+02,        +1.414213562373e-01,        +1.168987960460e-01,        +4.648522264718e-03,        +9.624424854219e-02,        +1.260714994539e-02,        +1.414213562373e-01,        +9.624424854219e-02,        +1.260714994539e-02,        +1.167997173071e-01,        +4.583609355406e-03
 2.96000000e+02,        +1.414213562373e-01,        +1.176787794002e-01,        +5.011144256843e-04,        +9.710273135847e-02,        +3.513535957840e-03,        +1.414213562373e-01,        +9.710273135847e-02,        +3.513535957840e-03,        +1.175880621762e-01,        +4.400964403542e-04
 2.98000000e+02,        +1.414213562373e-01,        +1.176666660012e-01,        -3.721059439508e-03,        +9.691981544595e-02,        -5.640554989066e-03,        +1.414213562373e-01,        +9.691981544595e-02,        -5.640554989066e-03,        +1.175858866750e-01,        -3.780080806275e-03
 3.00000000e+02,        +1.414213562373e-01,        +1.168649081200e-01,        -7.852506229385e-03,        +9.569838329846e-02,        -1.468816246823e-02,        +1.414213562373e-01,        +9.569838329846e-02,        -1.468816246823e-02,        +1.167952455107e-01,        -7.911804987716e-03
